x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
1.5 1.8 0 0 0 0 0 0 0
1.50217 1.90077 -0.294471 -0.452003 -0.557576 0.637915 0 0 0
1.2889 1.3424 -0.296422 -0.141503 0.504419 -0.475567 0 0 0
1.63486 1.72691 0.551952 0.741235 1.33681 -0.607465 0 0 0
1.94631 2.18842 -0.214353 0.344056 -0.244671 0.784457 0 0 0
1.47821 2.33283 -0.267861 -0.121896 -0.998734 1.43243 0 0 0
1.59484 1.7428 0.170778 -0.261836 1.19894 -0.953073 0 0 0
1.38279 1.61006 -0.358479 0.0187982 -0.504905 -0.520127 0 0 0
1.53267 1.57727 0.360108 -0.214936 0.425866 -0.267798 0 0 0
1.5326 1.71556 -0.175291 0.107559 0.975431 -0.587395 0 0 0
1.44304 1.94386 0.211366 0.106793 1.3918 0.0331123 0 0 0
1.63993 2.04787 -0.106579 0.127984 0.335236 0.304069 0 0 0
1.54523 1.73921 -0.494088 -0.422189 1.95163 1.79053 0 0 0
1.47653 1.61966 0.156652 0.105072 1.31567 0.30009 0 0 0
1.48051 1.61406 -0.16539 0.15335 -1.28941 -1.14534 0 0 0
1.47843 1.62037 -0.281497 0.066739 3.52633 0.380917 0 0 0
1.17508 1.84311 -0.481211 0.0483762 -0.555112 0.148001 0 0 0
1.21065 1.74681 0.324477 -0.157519 0.420289 0.764219 0 0 0
1.27197 1.78104 0.153018 -0.307621 0.662188 -1.6297 0 0 0
1.36641 1.89216 -0.113755 0.196761 -0.849283 -0.1751 0 0 0
1.49244 1.91576 0.224253 -0.281338 1.52877 -1.43642 0 0 0
1.60135 1.80235 0.457813 0.172159 -0.421683 1.5323 0 0 0
1.81333 1.75788 0.119538 -0.217943 -1.07774 0.816199 0 0 0
1.98704 1.54663 -0.0571292 -0.102604 1.05958 -0.22404 0 0 0
1.84589 1.39771 -0.188735 0.00620713 -1.65278 -1.46602 0 0 0
1.58708 1.61189 -0.104259 0.381258 -1.65005 -0.783224 0 0 0
1.14311 2.26822 -0.496076 0.489698 -1.07443 -0.934034 0 0 0
1.10575 2.59396 0.36214 -0.100663 -1.17217 0.189708 0 0 0
1.60888 2.33249 0.434094 -0.73031 1.14144 -2.40541 0 0 0
1.9537 2.10432 -0.0364152 -0.00899831 2.14625 0.431678 0 0 0
1.89872 1.99809 -0.0163549 -0.235454 0.101688 1.00088 0 0 0
1.65248 1.71549 -0.880989 0.0649115 0.183963 0.129953 0 0 0
1.02186 1.55473 -0.373588 0.0897761 -0.308328 0.921232 0 0 0
1.02698 1.65163 0.379904 -0.261514 -2.16596 -0.751655 0 0 0
1.28765 1.55947 0.187148 -0.309645 -0.589421 -1.08868 0 0 0
1.49786 1.56803 0.0801394 0.328245 1.51598 -0.315498 0 0 0
1.49597 1.55939 0.175522 -0.047769 1.65357 0.194968 0 0 0
1.5693 1.67425 0.338366 0.214087 -0.617514 1.12642 0 0 0
1.55594 1.74704 -0.657079 0.0929187 -0.422044 -0.483368 0 0 0
1.29606 1.75999 -0.155835 0.0781168 0.306015 1.74466 0 0 0
1.43922 1.66554 0.179124 -0.16859 -1.10908 0.354374 0 0 0
1.66846 1.65774 -0.148041 0.223009 1.40784 -2.03845 0 0 0
1.49881 1.8346 0.362637 0.48251 -0.760047 -0.019794 0 0 0
1.68814 2.19012 -0.166583 0.272954 -1.13724 0.33593 0 0 0
1.16291 2.10569 -0.50938 -0.347645 -1.24511 2.02041 0 0 0
0.688078 1.88996 -0.202059 -0.240089 -1.7838 -0.482616 0 0 0
0.750823 1.74435 0.365089 -0.0904713 -0.78426 -0.898256 0 0 0
1.24753 1.60582 0.580915 -0.111341 -0.216179 0.657359 0 0 0
1.64904 1.52488 0.120843 0.0667773 -1.11417 0.891202 0 0 0
1.81704 1.43849 0.0349852 -0.403953 -1.92055 -0.171413 0 0 0
1.58233 1.5041 0.0385334 0.0278847 -0.176791 -0.974014 0 0 0
1.49863 1.82454 -0.225179 -0.0560515 -1.66809 0.778591 0 0 0
1.48548 1.73498 0.00601116 -0.0761698 1.07765 -1.41807 0 0 0
1.55988 1.92222 0.0937698 0.565553 1.00194 -0.670315 0 0 0
1.80475 2.29614 0.371858 0.0468084 -0.444492 2.29256 0 0 0
1.90167 2.30677 -0.0214834 -0.00196547 0.416679 -0.5458 0 0 0
1.72495 2.30788 -0.142683 -0.111541 0.995202 -0.471956 0 0 0
1.46477 2.12289 -0.273219 -0.405049 -0.657805 2.05438 0 0 0
1.19871 1.84234 -0.211127 -0.334875 -0.137489 2.48623 0 0 0
1.31775 1.81146 -0.057149 0.106043 0.22693 -0.295008 0 0 0
1.53279 1.80755 0.46609 0.117093 1.0188 -1.5724 0 0 0
1.72983 1.70804 -0.187387 -0.15165 0.280112 -0.369298 0 0 0
1.15746 1.82847 -0.871415 0.236671 -0.535297 0.438203 0 0 0
0.895444 1.94879 0.367005 0.161311 -0.851614 0.913138 0 0 0
1.29616 1.92079 0.593923 -0.0411231 0.664456 -0.922323 0 0 0
1.68745 1.79373 0.102511 -0.19084 2.05729 -0.306585 0 0 0
1.58389 1.67179 -0.11151 0.0261296 0.582616 -1.62083 0 0 0
1.49711 1.56754 0.0435682 -0.362825 -1.8624 -0.259502 0 0 0
1.68017 1.69029 -0.23549 0.424682 0.406269 0.510239 0 0 0
